run,genint,repetition,Module,avg_delay,delivered,dispatched,drop_count
18,1,0,Network.nodeRx.sink,0.42290167194589,197,197,0
17,0.95,0,Network.nodeRx.sink,0.42680235837049,218,218,0
16,0.9,0,Network.nodeRx.sink,0.42486736692749,222,223,0
15,0.85,0,Network.nodeRx.sink,0.4330444284238,244,244,0
14,0.8,0,Network.nodeRx.sink,0.44306312855788,250,251,0
13,0.75,0,Network.nodeRx.sink,0.44709748328341,272,272,0
12,0.7,0,Network.nodeRx.sink,0.44755743449059,306,308,0
11,0.65,0,Network.nodeRx.sink,0.44900884127697,302,302,0
10,0.6,0,Network.nodeRx.sink,0.46012777700082,389,391,0
9,0.55,0,Network.nodeRx.sink,0.46464099152573,365,368,0
8,0.5,0,Network.nodeRx.sink,0.47264304376178,413,413,0
7,0.45,0,Network.nodeRx.sink,0.46394692247386,461,463,0
6,0.4,0,Network.nodeRx.sink,0.49160579894016,515,516,0
5,0.35,0,Network.nodeRx.sink,0.53736813389341,538,538,0
4,0.3,0,Network.nodeRx.sink,0.6480542566398,659,660,0
3,0.25,0,Network.nodeRx.sink,0.77776652067885,800,804,0
2,0.2,0,Network.nodeRx.sink,5.2504001901426,986,1019,0
1,0.15,0,Network.nodeRx.sink,28.534111590815,992,1350,0
0,0.1,0,Network.nodeRx.sink,49.741569311069,998,1979,0
